"Player 0: x=10.59, y=0, z=4.98, a=270.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.59, y=0, z=4.98, a=270.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.83, y=0, z=4.98, a=212.70 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=11.19, y=0, z=4.98, a=136.31 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=11.55, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=11.91, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=12.27, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=12.75, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.11, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.47, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.95, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.31, y=0, z=4.98, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.67, y=0, z=4.98, a=109.10 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=4.61, a=173.20 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=4.25, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=3.89, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=3.53, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=3.17, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=2.81, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.93, y=0, z=2.33, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.91, y=0, z=2.2, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.89, y=0, z=2.2, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.89, y=0, z=2.2, a=180.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.89, y=0, z=2.2, a=218.20 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.41, y=0, z=2.2, a=270.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.05, y=0, z=2.2, a=270.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.76, y=0, z=2.37, a=315.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.42, y=0, z=2.71, a=315.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.25, y=0, z=3, a=353.20 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=3.35, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=3.71, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=4.07, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=4.43, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=4.91, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.27, y=0, z=5, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.53, y=0, z=5, a=64.10 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=13.77, y=0, z=5, a=90.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.13, y=0, z=5, a=70.90 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.5, y=0, z=5.25, a=45.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.67, y=0, z=5.54, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.67, y=0, z=5.9, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.67, y=0, z=6.38, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=14.67, y=0, z=6.74, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
