player0_position_x,player0_position_y,player0_position_z,player0_position_a,player1_position_x,player1_position_y,player1_position_z,player1_position_a,order0,order1
13.23,0,8.43,315.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.06,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.06,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.06,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
13.06,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.94,0,8.6,302.70,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.68,0,8.35,250.90,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.31,0,8.09,225.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7.84,205.90,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7.48,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
12.05,0,7,180.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
11.81,0,7,237.30,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
11.45,0,7,270.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
11.1,0,7.01,270.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,7.1,308.20,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,7.46,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,7.7,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.18,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.54,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
10.65,0,8.6,0.00,8.38,0,7,180.00,Sushi_Fish,Sushi_Fish
